Flow ID	 Source IP	 Source Port	 Destination IP	 Destination Port	 Protocol	 Timestamp	 Flow Duration	 Total Fwd Packets	 Total Backward Packets	Total Length of Fwd Packets	 Total Length of Bwd Packets	 Fwd Packet Length Max	 Fwd Packet Length Min	 Fwd Packet Length Mean	 Fwd Packet Length Std	Bwd Packet Length Max	 Bwd Packet Length Min	 Bwd Packet Length Mean	 Bwd Packet Length Std	Flow Bytes/s	 Flow Packets/s	 Flow IAT Mean	 Flow IAT Std	 Flow IAT Max	 Flow IAT Min	Fwd IAT Total	 Fwd IAT Mean	 Fwd IAT Std	 Fwd IAT Max	 Fwd IAT Min	Bwd IAT Total	 Bwd IAT Mean	 Bwd IAT Std	 Bwd IAT Max	 Bwd IAT Min	Fwd PSH Flags	 Bwd PSH Flags	 Fwd URG Flags	 Bwd URG Flags	 Fwd Header Length	 Bwd Header Length	Fwd Packets/s	 Bwd Packets/s	 Min Packet Length	 Max Packet Length	 Packet Length Mean	 Packet Length Std	 Packet Length Variance	FIN Flag Count	 SYN Flag Count	 RST Flag Count	 PSH Flag Count	 ACK Flag Count	 URG Flag Count	 CWE Flag Count	 ECE Flag Count	 Down/Up Ratio	 Average Packet Size	 Avg Fwd Segment Size	 Avg Bwd Segment Size	 Fwd Header Length_1	Fwd Avg Bytes/Bulk	 Fwd Avg Packets/Bulk	 Fwd Avg Bulk Rate	 Bwd Avg Bytes/Bulk	 Bwd Avg Packets/Bulk	Bwd Avg Bulk Rate	Subflow Fwd Packets	 Subflow Fwd Bytes	 Subflow Bwd Packets	 Subflow Bwd Bytes	Init_Win_bytes_forward	 Init_Win_bytes_backward	 act_data_pkt_fwd	 min_seg_size_forward	Active Mean	 Active Std	 Active Max	 Active Min	Idle Mean	 Idle Std	 Idle Max	 Idle Min	 Label
192.168.10.3-192.168.10.9-88-1033-6	192.168.10.9	1033	192.168.10.3	88	6	03.07.2017 08:56	1160	9	6	3134.0	3048.0	1552.0	0.0	348.22222222222223	682.4825598097319	1518.0	0.0	508.0	782.3472374847373	5329310.344827586	12931.034482758621	82.85714285714286	218.24610566368105	836.0	1.0	1160.0	145.0	326.9080255100158	950.0	1.0	1022.0	204.4	354.35335471814005	836.0	3.0	0	0	0	0	204	144	7758.620689655172	5172.413793103448	0.0	1552.0	386.375	684.9689895657077	469182.51666666666	0	0	0	1	0	0	0	0	0.0	412.1333333333333	348.22222222222223	508.0	204	0	0	0	0	0	0	9	3134	6	3048	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1034-6	192.168.10.9	1034	192.168.10.3	88	6	03.07.2017 08:56	524	7	4	2812.0	2820.0	1397.0	0.0	401.7142857142857	679.9148756243226	1410.0	0.0	705.0	814.0638795573723	1.0748091603053434E7	20992.366412213738	52.400000000000006	83.6782196538887	284.0	1.0	524.0	87.33333333333334	143.72844765969842	377.0	1.0	440.0	146.66666666666666	169.16362887256037	342.0	49.0	0	0	0	0	164	104	13358.778625954197	7633.587786259542	0.0	1410.0	469.33333333333337	689.943388103603	476021.87878787884	0	0	0	1	0	0	0	0	0.0	512.0	401.7142857142857	705.0	164	0	0	0	0	0	0	7	2812	4	2820	8192	2053	5	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1034-6	192.168.10.3	88	192.168.10.9	1034	6	03.07.2017 08:56	6	1	1	6.0	6.0	6.0	6.0	6.0	0.0	6.0	6.0	6.0	0.0	2000000.0	333333.3333333333	6.0	0.0	6.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	166666.66666666666	166666.66666666666	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	0	0	0	1.0	9.0	6.0	6.0	20	0	0	0	0	0	0	1	6	1	6	2053	251	0	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1036-6	192.168.10.9	1036	192.168.10.3	88	6	03.07.2017 08:56	1119	9	6	3160.0	3060.0	1565.0	0.0	351.1111111111111	688.2149817543287	1524.0	0.0	510.0	785.4456060097351	5558534.405719392	13404.825737265415	79.92857142857142	190.29065391404006	704.0	1.0	1119.0	139.87499999999997	263.0379861215051	759.0	1.0	1047.0	209.4	310.6385359223804	704.0	3.0	0	0	0	0	204	144	8042.8954423592495	5361.930294906167	0.0	1565.0	388.75000000000006	689.2425310924062	475055.26666666655	0	0	0	1	0	0	0	0	0.0	414.6666666666667	351.1111111111111	510.0	204	0	0	0	0	0	0	9	3160	6	3060	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-389-1035-6	192.168.10.9	1035	192.168.10.3	389	6	03.07.2017 08:56	18378	13	13	4160.0	5724.0	1672.0	0.0	320.0	612.9740342515877	2634.0	0.0	440.3076923076923	817.3089363489778	537816.9550549571	1414.7350092501906	735.1200000000001	3222.5996276298424	16177.0	1.0	18378.0	1531.5	4628.9492131780635	16177.0	3.0	18292.0	1524.333333333333	4674.379634742665	16337.0	1.0	0	0	0	0	284	284	707.3675046250953	707.3675046250953	0.0	2634.0	366.074074074074	700.4948210386669	490692.9943019941	0	0	0	1	0	0	0	0	1.0	380.15384615384613	320.0	440.3076923076923	284	0	0	0	0	0	0	13	4160	13	5724	8192	0	11	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1038-6	192.168.10.9	1038	192.168.10.3	88	6	03.07.2017 08:56	822	7	4	458.0	356.0	220.0	0.0	65.42857142857143	105.62647575751252	178.0	0.0	89.0	102.7683479157534	990267.6399026763	13381.995133819952	82.2	177.6662288925188	579.0	1.0	822.0	137.0	269.60044510349013	683.0	1.0	660.0	220.0	375.85502524244635	654.0	3.0	0	0	0	0	164	104	8515.81508515815	4866.1800486618	0.0	220.0	67.83333333333333	97.72859759496596	9550.878787878788	0	0	0	1	0	0	0	0	0.0	74.0	65.42857142857143	89.0	164	0	0	0	0	0	0	7	458	4	356	8192	2053	5	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1039-6	192.168.10.9	1039	192.168.10.3	88	6	03.07.2017 08:56	876	9	4	630.0	2942.0	300.0	0.0	70.0	130.42239071570495	1471.0	0.0	735.5	849.2822459779395	4077625.5707762553	14840.182648401826	73.0	209.19933947401373	734.0	1.0	876.0	109.50000000000001	281.35539295143633	804.0	1.0	756.0	252.0	429.54976428814393	748.0	3.0	0	0	0	0	204	104	10273.972602739726	4566.2100456621	0.0	1471.0	255.14285714285717	525.978334906685	276653.2087912088	0	0	0	1	0	0	0	0	0.0	274.7692307692308	70.0	735.5	204	0	0	0	0	0	0	9	630	4	2942	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1040-6	192.168.10.9	1040	192.168.10.3	88	6	03.07.2017 08:56	1009	7	4	2748.0	2780.0	1365.0	0.0	392.57142857142856	664.3005989115813	1390.0	0.0	695.0	802.5168741735798	5478691.774033697	10901.883052527255	100.9	248.10277888183535	804.0	1.0	1009.0	168.16666666666666	340.19254352008755	861.0	1.0	864.0	288.0	492.7687084221156	857.0	3.0	0	0	0	0	164	104	6937.5619425173445	3964.321110009911	0.0	1390.0	460.6666666666667	677.1727768427861	458562.9696969698	0	0	0	1	0	0	0	0	0.0	502.54545454545456	392.57142857142856	695.0	164	0	0	0	0	0	0	7	2748	4	2780	8192	2053	5	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1045-6	192.168.10.9	1045	192.168.10.3	88	6	03.07.2017 08:56	616	7	4	484.0	414.0	233.0	0.0	69.14285714285715	111.9678950584029	207.0	0.0	103.5	119.51150572225254	1457792.2077922078	17857.142857142855	61.6	119.00625567124146	393.0	1.0	616.0	102.66666666666666	180.4933978478622	468.0	1.0	466.0	155.33333333333331	262.9835229312539	459.0	3.0	0	0	0	0	164	104	11363.636363636364	6493.506493506494	0.0	233.0	74.83333333333334	107.52744540419211	11562.151515151514	0	0	0	1	0	0	0	0	0.0	81.63636363636364	69.14285714285714	103.5	164	0	0	0	0	0	0	7	484	4	414	8192	2053	5	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1045-6	192.168.10.3	88	192.168.10.9	1045	6	03.07.2017 08:56	5	1	1	6.0	6.0	6.0	6.0	6.0	0.0	6.0	6.0	6.0	0.0	2400000.0	399999.99999999994	5.0	0.0	5.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	199999.99999999997	199999.99999999997	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	0	0	0	1.0	9.0	6.0	6.0	20	0	0	0	0	0	0	1	6	1	6	2053	255	0	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1046-6	192.168.10.9	1046	192.168.10.3	88	6	03.07.2017 08:56	946	9	4	654.0	3064.0	312.0	0.0	72.66666666666667	135.71293232407882	1532.0	0.0	766.0	884.5006123985067	3930232.5581395347	13742.071881606766	78.83333333333333	193.22282630698837	689.0	1.0	946.0	118.25	248.58959293237865	730.0	1.0	790.0	263.33333333333337	449.17962257134207	782.0	3.0	0	0	0	0	204	104	9513.742071881607	4228.329809725158	0.0	1532.0	265.57142857142856	547.8293830811131	300117.0329670329	0	0	0	1	0	0	0	0	0.0	286.0	72.66666666666667	766.0	204	0	0	0	0	0	0	9	654	4	3064	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1047-6	192.168.10.9	1047	192.168.10.3	88	6	03.07.2017 08:56	927	9	6	3160.0	3060.0	1565.0	0.0	351.1111111111111	688.2149817543287	1524.0	0.0	510.0	785.4456060097351	6709816.612729235	16181.229773462783	66.21428571428571	181.8355887022156	694.0	2.0	927.0	115.875	277.95448625372364	801.0	2.0	909.0	181.8	286.5225994577042	694.0	47.0	0	0	0	0	204	144	9708.73786407767	6472.491909385113	0.0	1565.0	388.75000000000006	689.2425310924062	475055.26666666655	0	0	0	1	0	0	0	0	0.0	414.6666666666667	351.1111111111111	510.0	204	0	0	0	0	0	0	9	3160	6	3060	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1050-6	192.168.10.9	1050	192.168.10.3	88	6	03.07.2017 08:56	973	9	6	3112.0	3012.0	1541.0	0.0	345.77777777777777	677.6320494519459	1500.0	0.0	502.0	773.0521327827768	6293936.27954779	15416.238437821172	69.49999999999999	190.58200334764032	727.0	1.0	973.0	121.62499999999997	294.1277358563792	843.0	1.0	893.0	178.6	309.7132544790423	727.0	3.0	0	0	0	0	204	144	9249.743062692703	6166.495375128468	0.0	1541.0	382.75	678.5107712237636	460376.8666666666	0	0	0	1	0	0	0	0	0.0	408.26666666666665	345.77777777777777	502.0	204	0	0	0	0	0	0	9	3112	6	3012	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1052-6	192.168.10.9	1052	192.168.10.3	88	6	03.07.2017 08:56	953	7	4	2814.0	2836.0	1398.0	0.0	402.0	680.4028218636369	1418.0	0.0	709.0	818.6826817108894	5928646.379853096	11542.497376705142	95.30000000000001	211.98272990453205	692.0	1.0	953.0	158.83333333333331	333.2052920748209	837.0	2.0	854.0	284.6666666666667	408.1866403170654	756.0	49.0	0	0	0	0	164	104	7345.225603357818	4197.271773347325	0.0	1418.0	470.83333333333337	692.1741548238135	479105.0606060606	0	0	0	1	0	0	0	0	0.0	513.6363636363636	402.0	709.0	164	0	0	0	0	0	0	7	2814	4	2836	8192	2053	5	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1053-6	192.168.10.9	1053	192.168.10.3	88	6	03.07.2017 08:56	740	8	6	4948.0	270.0	2465.0	0.0	618.5	937.901913848138	129.0	0.0	45.0	65.12142504583265	7051351.3513513515	18918.91891891892	56.92307692307692	123.69819557998244	459.0	0.0	740.0	105.71428571428572	207.4196344657486	550.0	0.0	694.0	138.8	186.75840007881843	472.0	47.0	0	0	0	0	184	144	10810.810810810812	8108.108108108108	0.0	2465.0	347.8666666666667	728.8025273073109	531153.1238095238	0	0	0	1	0	0	0	0	0.0	372.7142857142857	618.5	45.0	184	0	0	0	0	0	0	8	4948	6	270	8192	2053	6	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-389-1051-6	192.168.10.9	1051	192.168.10.3	389	6	03.07.2017 08:56	77033	13	11	4122.0	1038.0	1660.0	0.0	317.0769230769231	600.6818988364337	210.0	0.0	94.36363636363635	89.66300544513632	66984.27946464502	311.55478820765126	3349.2608695652175	15550.735171798124	74678.0	2.0	77033.0	6419.416666666667	21541.96095344379	74816.0	2.0	76989.0	7698.9	23561.13637350947	74748.0	3.0	0	0	0	0	284	244	168.75884361247776	142.7959445951735	0.0	1660.0	206.40000000000003	444.88462923923703	197922.3333333334	0	0	0	1	0	0	0	0	0.0	215.0	317.0769230769231	94.36363636363636	284	0	0	0	0	0	0	13	4122	11	1038	8192	0	11	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-389-1051-6	192.168.10.3	389	192.168.10.9	1051	6	03.07.2017 08:56	46	1	1	6.0	6.0	6.0	6.0	6.0	0.0	6.0	6.0	6.0	0.0	260869.5652173913	43478.260869565216	46.0	0.0	46.0	46.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	21739.130434782608	21739.130434782608	6.0	6.0	6.0	0.0	0.0	1	0	0	0	1	0	0	0	1.0	9.0	6.0	6.0	20	0	0	0	0	0	0	1	6	1	6	0	254	0	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1055-6	192.168.10.9	1055	192.168.10.3	88	6	03.07.2017 08:56	1112	9	7	3134.0	3054.0	1552.0	0.0	348.22222222222223	682.4825598097319	1518.0	0.0	436.2857142857143	738.9564069879708	5564748.201438849	14388.489208633095	74.13333333333334	207.44185645506505	819.0	1.0	1112.0	139.0	298.78659369427635	875.0	1.0	1058.0	176.33333333333334	317.47986812814867	819.0	3.0	0	0	0	0	204	164	8093.525179856116	6294.964028776979	0.0	1552.0	364.0	669.6039874433246	448369.5	0	0	0	1	0	0	0	0	0.0	386.75	348.22222222222223	436.2857142857143	204	0	0	0	0	0	0	9	3134	7	3054	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1056-6	192.168.10.9	1056	192.168.10.3	88	6	03.07.2017 08:56	655	7	4	2812.0	2820.0	1397.0	0.0	401.7142857142857	679.9148756243226	1410.0	0.0	705.0	814.0638795573723	8598473.282442749	16793.893129770993	65.5	91.55720737452745	274.0	0.0	655.0	109.16666666666667	172.44641679857156	459.0	1.0	556.0	185.33333333333334	186.0035841948572	372.0	0.0	0	0	0	0	164	104	10687.022900763359	6106.8702290076335	0.0	1410.0	469.33333333333337	689.943388103603	476021.87878787884	0	0	0	1	0	0	0	0	0.0	512.0	401.7142857142857	705.0	164	0	0	0	0	0	0	7	2812	4	2820	8192	2053	5	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.9-69.31.33.224-1057-80-6	192.168.10.9	1057	69.31.33.224	80	6	03.07.2017 08:57	40643	3	4	103.0	191.0	97.0	0.0	34.33333333333333	54.35377938408086	179.0	0.0	47.75	87.54570235025817	7233.717983416579	172.2313805575376	6773.833333333333	10209.406396390863	19958.0	3.0	20083.0	10041.5	14094.759469391453	20008.0	75.0	20685.0	6895.0	11413.094759967606	20069.0	3.0	0	0	0	0	72	92	73.81344881037326	98.41793174716433	0.0	179.0	36.75	66.28240447401666	4393.357142857143	0	0	0	1	0	0	0	0	1.0	42.0	34.333333333333336	47.75	72	0	0	0	0	0	0	3	103	4	191	8192	913	2	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.9-69.31.33.224-1057-80-6	192.168.10.9	1057	69.31.33.224	80	6	03.07.2017 08:57	4	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	3000000.0	500000.0	4.0	0.0	4.0	4.0	4.0	4.0	0.0	4.0	4.0	0	0	0	0	0	0	0	0	0	40	0	500000.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	0	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	255	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-49671-1029-6	192.168.10.9	1029	192.168.10.3	49671	6	03.07.2017 08:56	26361049	21	14	3720.0	2672.0	936.0	0.0	177.1428571428572	268.13677213584225	952.0	0.0	190.85714285714286	324.9593719322362	242.47896963432675	1.3277165108262572	775324.9705882352	4298075.296767412	2.5084797E7	1.0	2.6361049E7	1318052.45	5597543.476993893	2.5084797E7	1.0	1068197.0	82169.0	295756.8190321231	1066507.0	2.0	0	0	0	0	444	304	0.7966299064957544	0.5310866043305029	0.0	952.0	177.55555555555557	285.0932122701971	81278.13968253967	0	0	0	1	0	0	0	0	0.0	182.62857142857143	177.14285714285714	190.85714285714286	444	0	0	0	0	0	0	21	3720	14	2672	8192	2053	19	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-49671-1029-6	192.168.10.9	1029	192.168.10.3	49671	6	03.07.2017 08:57	52	1	2	6.0	12.0	6.0	6.0	6.0	0.0	6.0	6.0	6.0	0.0	346153.8461538462	57692.307692307695	26.0	31.11269837220809	48.0	4.0	0	0	0	0	0	4.0	4.0	0.0	4.0	4.0	0	0	0	0	20	40	19230.76923076923	38461.53846153846	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	2.0	8.0	6.0	6.0	20	0	0	0	0	0	0	1	6	2	12	251	2053	0	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-49671-1029-6	192.168.10.3	49671	192.168.10.9	1029	6	03.07.2017 08:57	0	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	Infinity	Infinity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	40	0	0.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	0	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	2053	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1058-6	192.168.10.9	1058	192.168.10.3	88	6	03.07.2017 08:57	1067	9	6	3084.0	2984.0	1527.0	0.0	342.6666666666667	671.4586733373842	1486.0	0.0	497.33333333333337	765.8226078320401	5686972.820993439	14058.106841611996	76.21428571428572	204.80842026388714	782.0	1.0	1067.0	133.375	311.19673956242815	901.0	1.0	998.0	199.6	331.0080059454756	782.0	1.0	0	0	0	0	204	144	8434.864104967197	5623.242736644798	0.0	1527.0	379.25	672.2505981155142	451920.8666666666	0	0	0	1	0	0	0	0	0.0	404.53333333333336	342.6666666666667	497.3333333333333	204	0	0	0	0	0	0	9	3084	6	2984	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-389-1060-6	192.168.10.9	1060	192.168.10.3	389	6	03.07.2017 08:57	3536	13	11	4094.0	1038.0	1646.0	0.0	314.92307692307696	595.4657087158002	210.0	0.0	94.36363636363635	89.66300544513632	1451357.4660633483	6787.330316742081	153.7391304347826	318.3389013716078	1210.0	1.0	3536.0	294.6666666666667	468.5283213198407	1348.0	1.0	3497.0	349.7	468.64368127608424	1276.0	3.0	0	0	0	0	284	244	3676.470588235294	3110.859728506787	0.0	1646.0	205.28	441.07326677851	194545.62666666668	0	0	0	1	0	0	0	0	0.0	213.83333333333334	314.9230769230769	94.36363636363636	284	0	0	0	0	0	0	13	4094	11	1038	8192	0	11	20	0	0	0	0	0	0	0	0	BENIGN
